Name,Phase,Namespace,Node Name,Restart Count,Host IP,Pod IP
kube-prometheus-stack-operator-7f6444c4b-qmd74,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.209
kube-prometheus-stack-prometheus-node-exporter-6srbl,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.208.3.148
kube-prometheus-stack-prometheus-node-exporter-d729j,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.208.3.149
kube-prometheus-stack-prometheus-node-exporter-hd458,Running,kommander,kaas-8002-fullvsphere-control-plane-j6hfv,33,10.208.3.13,10.208.3.13
kube-prometheus-stack-prometheus-node-exporter-sblwn,Running,kommander,kaas-8002-fullvsphere-control-plane-84mh8,34,10.208.3.12,10.208.3.12
kube-prometheus-stack-prometheus-node-exporter-x5648,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.208.3.144
kube-prometheus-stack-prometheus-node-exporter-z54rt,Running,kommander,kaas-8002-fullvsphere-control-plane-qqzgf,34,10.208.3.14,10.208.3.14
kube-prometheus-stack-prometheus-node-exporter-zv95t,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.208.3.147
kubecost-traefik-certs-kommander-cert-federation-95676bb76js9mn,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.98
kubernetes-dashboard-657d664475-4pc6n,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.199
kubernetes-dashboard-657d664475-4pc6n,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.199
logging-operator-5884d9fb66-tk4nl,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.11
logging-operator-logging-fluentbit-24dd7,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.88
logging-operator-logging-fluentbit-8fwn8,Running,kommander,kaas-8002-fullvsphere-control-plane-84mh8,0,10.208.3.12,10.170.5.75
logging-operator-logging-fluentbit-gtdtt,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.205
logging-operator-logging-fluentbit-gvbjt,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.13
logging-operator-logging-fluentbit-nlp86,Running,kommander,kaas-8002-fullvsphere-control-plane-j6hfv,0,10.208.3.13,10.170.11.76
logging-operator-logging-fluentbit-pm6jb,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rpm7w,0,10.208.3.147,10.170.4.17
logging-operator-logging-fluentbit-xj6lg,Running,kommander,kaas-8002-fullvsphere-control-plane-qqzgf,0,10.208.3.14,10.170.14.206
logging-operator-logging-fluentd-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.23
logging-operator-logging-fluentd-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.23
logging-operator-logging-fluentd-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.23
minio-operator-57fc5c59f4-7q675,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.12
prometheus-adapter-5757b85bfc-d4t22,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.79
prometheus-kube-prometheus-stack-prometheus-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.211
prometheus-kube-prometheus-stack-prometheus-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.211
prometheus-kube-prometheus-stack-prometheus-0,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.211
prometheus-traefik-certs-kommander-cert-federation-679bf8f5jjqv,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.96
traefik-forward-auth-9bf969df7-bxmzd,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,901,10.208.3.144,10.170.1.76
traefik-forward-auth-mgmt-c5f8d9cf4-rcrmq,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-8xn65,0,10.208.3.144,10.170.1.85
velero-59f6898657-cqcz6,Running,kommander,kaas-8002-fullvsphere-md-0-5f8ddbdf77-jl7cf,0,10.208.3.148,10.170.3.2
kubefed-admission-webhook-75b96bbcdb-pdzb9,Running,kube-federation-system,kaas-8002-fullvsphere-md-0-5f8ddbdf77-rk98s,0,10.208.3.149,10.170.7.202
